frame,seq,event,label,id,value,score
1188,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,30
1191,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,30
1206,0,CONTACT_BEGIN,flipper-right:poly,0,0,30
1207,0,CONTACT_END,flipper-right:poly,0,0,30
1216,0,CONTACT_BEGIN,drain,0,0,30
1216,1,DRAIN,drain,0,2,30
1217,0,CONTACT_BEGIN,ground,0,0,30
1219,0,CONTACT_END,ground,0,0,30
1228,0,RESET,ball,0,3,30
1228,1,CONTACT_END,drain,0,0,30
1235,0,CONTACT_BEGIN,ground,0,0,30
1236,0,CONTACT_END,ground,0,0,30
1239,0,CONTACT_BEGIN,ground,0,0,30
1240,0,PLUNGE,ball,0,3,30
1241,0,CONTACT_END,ground,0,0,30
1284,0,CONTACT_BEGIN,top-right-1,0,0,30
1284,1,CONTACT_BEGIN,top-right-2,0,0,30
1284,2,CONTACT_BEGIN,top-right-3,0,0,30
1285,0,CONTACT_END,top-right-1,0,0,30
1285,1,CONTACT_END,top-right-2,0,0,30
1285,2,CONTACT_END,top-right-3,0,0,30
